#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.8900000E+01     0.9711607E+00    -0.2720148E-02     0.1550729E+00     0.1728040E-01     0.4592622E-09     0.9177240E-09     0.1835448E-08
     0.9000000E+01     0.9708872E+00    -0.2750445E-02     0.1568007E+00     0.1727555E-01     0.4592591E-09     0.9177209E-09     0.1835442E-08
     0.9100000E+01     0.9706106E+00    -0.2780733E-02     0.1585280E+00     0.1727064E-01     0.4592560E-09     0.9177178E-09     0.1835436E-08
     0.9200000E+01     0.9703310E+00    -0.2811012E-02     0.1602548E+00     0.1726568E-01     0.4592529E-09     0.9177146E-09     0.1835429E-08
     0.9300000E+01     0.9700484E+00    -0.2841282E-02     0.1619811E+00     0.1726066E-01     0.4592497E-09     0.9177114E-09     0.1835423E-08
     0.9400000E+01     0.9697628E+00    -0.2871542E-02     0.1637070E+00     0.1725559E-01     0.4592465E-09     0.9177082E-09     0.1835416E-08
     0.9500000E+01     0.9694741E+00    -0.2901794E-02     0.1654323E+00     0.1725047E-01     0.4592433E-09     0.9177049E-09     0.1835410E-08
     0.9600000E+01     0.9691824E+00    -0.2932035E-02     0.1671571E+00     0.1724529E-01     0.4592400E-09     0.9177016E-09     0.1835403E-08
     0.9700000E+01     0.9688877E+00    -0.2962268E-02     0.1688813E+00     0.1724006E-01     0.4592367E-09     0.9176983E-09     0.1835397E-08
     0.9800000E+01     0.9685900E+00    -0.2992491E-02     0.1706051E+00     0.1723477E-01     0.4592333E-09     0.9176950E-09     0.1835390E-08
     0.9900000E+01     0.9682892E+00    -0.3022704E-02     0.1723283E+00     0.1722943E-01     0.4592300E-09     0.9176916E-09     0.1835383E-08
     0.1000000E+02     0.9679854E+00    -0.3052907E-02     0.1740509E+00     0.1722404E-01     0.4592265E-09     0.9176881E-09     0.1835376E-08
     0.1010000E+02     0.9676786E+00    -0.3083101E-02     0.1757731E+00     0.1721860E-01     0.4592231E-09     0.9176847E-09     0.1835369E-08
     0.1020000E+02     0.9673688E+00    -0.3113284E-02     0.1774947E+00     0.1721310E-01     0.4592196E-09     0.9176812E-09     0.1835362E-08
     0.1030000E+02     0.9670560E+00    -0.3143458E-02     0.1792157E+00     0.1720754E-01     0.4592161E-09     0.9176776E-09     0.1835355E-08
     0.1040000E+02     0.9667401E+00    -0.3173621E-02     0.1809362E+00     0.1720194E-01     0.4592126E-09     0.9176741E-09     0.1835348E-08
     0.1050000E+02     0.9664212E+00    -0.3203774E-02     0.1826561E+00     0.1719628E-01     0.4592090E-09     0.9176705E-09     0.1835341E-08
     0.1060000E+02     0.9660994E+00    -0.3233916E-02     0.1843754E+00     0.1719056E-01     0.4592054E-09     0.9176668E-09     0.1835334E-08
     0.1070000E+02     0.9657745E+00    -0.3264048E-02     0.1860942E+00     0.1718480E-01     0.4592017E-09     0.9176632E-09     0.1835326E-08
     0.1080000E+02     0.9654465E+00    -0.3294170E-02     0.1878124E+00     0.1717898E-01     0.4591980E-09     0.9176595E-09     0.1835319E-08
     0.1090000E+02     0.9651156E+00    -0.3324280E-02     0.1895300E+00     0.1717310E-01     0.4591943E-09     0.9176557E-09     0.1835311E-08
     0.1100000E+02     0.9647817E+00    -0.3354380E-02     0.1912470E+00     0.1716718E-01     0.4591906E-09     0.9176520E-09     0.1835304E-08
     0.1110000E+02     0.9644447E+00    -0.3384470E-02     0.1929634E+00     0.1716120E-01     0.4591868E-09     0.9176481E-09     0.1835296E-08
     0.1120000E+02     0.9641048E+00    -0.3414548E-02     0.1946792E+00     0.1715516E-01     0.4591830E-09     0.9176443E-09     0.1835289E-08
     0.1130000E+02     0.9637618E+00    -0.3444615E-02     0.1963945E+00     0.1714908E-01     0.4591791E-09     0.9176404E-09     0.1835281E-08
     0.1140000E+02     0.9634159E+00    -0.3474671E-02     0.1981091E+00     0.1714294E-01     0.4591752E-09     0.9176365E-09     0.1835273E-08
     0.1150000E+02     0.9630669E+00    -0.3504716E-02     0.1998230E+00     0.1713674E-01     0.4591713E-09     0.9176326E-09     0.1835265E-08
     0.1160000E+02     0.9627149E+00    -0.3534749E-02     0.2015364E+00     0.1713050E-01     0.4591674E-09     0.9176286E-09     0.1835257E-08
     0.1170000E+02     0.9623600E+00    -0.3564771E-02     0.2032491E+00     0.1712420E-01     0.4591634E-09     0.9176246E-09     0.1835249E-08
     0.1180000E+02     0.9620020E+00    -0.3594781E-02     0.2049612E+00     0.1711784E-01     0.4591594E-09     0.9176205E-09     0.1835241E-08
     0.1190000E+02     0.9616410E+00    -0.3624780E-02     0.2066727E+00     0.1711144E-01     0.4591553E-09     0.9176164E-09     0.1835233E-08
     0.1200000E+02     0.9612770E+00    -0.3654767E-02     0.2083835E+00     0.1710498E-01     0.4591512E-09     0.9176123E-09     0.1835225E-08
     0.1210000E+02     0.9609100E+00    -0.3684742E-02     0.2100937E+00     0.1709847E-01     0.4591471E-09     0.9176082E-09     0.1835216E-08
     0.1220000E+02     0.9605401E+00    -0.3714705E-02     0.2118032E+00     0.1709190E-01     0.4591429E-09     0.9176040E-09     0.1835208E-08
     0.1230000E+02     0.9601671E+00    -0.3744656E-02     0.2135121E+00     0.1708528E-01     0.4591387E-09     0.9175998E-09     0.1835200E-08
     0.1240000E+02     0.9597911E+00    -0.3774596E-02     0.2152203E+00     0.1707861E-01     0.4591345E-09     0.9175955E-09     0.1835191E-08
     0.1250000E+02     0.9594122E+00    -0.3804522E-02     0.2169278E+00     0.1707189E-01     0.4591303E-09     0.9175912E-09     0.1835182E-08
     0.1260000E+02     0.9590302E+00    -0.3834437E-02     0.2186346E+00     0.1706511E-01     0.4591260E-09     0.9175869E-09     0.1835174E-08
