#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1250000E+02     0.9591977E+00    -0.3883612E-02    -0.5735103E-01    -0.4510281E-02     0.5316595E-10     0.9246162E-09     0.1849232E-08
     0.1260000E+02     0.9588077E+00    -0.3915623E-02    -0.5780196E-01    -0.4508359E-02     0.5351464E-10     0.9249649E-09     0.1849930E-08
     0.1270000E+02     0.9584146E+00    -0.3947658E-02    -0.5825270E-01    -0.4506420E-02     0.5386645E-10     0.9253167E-09     0.1850633E-08
     0.1280000E+02     0.9580182E+00    -0.3979717E-02    -0.5870324E-01    -0.4504463E-02     0.5422141E-10     0.9256716E-09     0.1851343E-08
     0.1290000E+02     0.9576186E+00    -0.4011799E-02    -0.5915359E-01    -0.4502490E-02     0.5457951E-10     0.9260297E-09     0.1852059E-08
     0.1300000E+02     0.9572158E+00    -0.4043905E-02    -0.5960374E-01    -0.4500498E-02     0.5494077E-10     0.9263910E-09     0.1852782E-08
     0.1310000E+02     0.9568098E+00    -0.4076035E-02    -0.6005369E-01    -0.4498490E-02     0.5530519E-10     0.9267554E-09     0.1853511E-08
     0.1320000E+02     0.9564006E+00    -0.4108190E-02    -0.6050344E-01    -0.4496464E-02     0.5567279E-10     0.9271230E-09     0.1854246E-08
     0.1330000E+02     0.9559882E+00    -0.4140369E-02    -0.6095298E-01    -0.4494420E-02     0.5604358E-10     0.9274938E-09     0.1854988E-08
     0.1340000E+02     0.9555726E+00    -0.4172574E-02    -0.6140232E-01    -0.4492358E-02     0.5641756E-10     0.9278678E-09     0.1855736E-08
     0.1350000E+02     0.9551537E+00    -0.4204803E-02    -0.6185145E-01    -0.4490279E-02     0.5679474E-10     0.9282450E-09     0.1856490E-08
     0.1360000E+02     0.9547316E+00    -0.4237057E-02    -0.6230037E-01    -0.4488183E-02     0.5717514E-10     0.9286254E-09     0.1857251E-08
     0.1370000E+02     0.9543063E+00    -0.4269337E-02    -0.6274909E-01    -0.4486068E-02     0.5755876E-10     0.9290090E-09     0.1858018E-08
     0.1380000E+02     0.9538777E+00    -0.4301643E-02    -0.6319759E-01    -0.4483936E-02     0.5794561E-10     0.9293958E-09     0.1858792E-08
     0.1390000E+02     0.9534460E+00    -0.4333975E-02    -0.6364587E-01    -0.4481786E-02     0.5833571E-10     0.9297859E-09     0.1859572E-08
     0.1400000E+02     0.9530109E+00    -0.4366332E-02    -0.6409394E-01    -0.4479618E-02     0.5872906E-10     0.9301793E-09     0.1860359E-08
     0.1410000E+02     0.9525727E+00    -0.4398717E-02    -0.6454180E-01    -0.4477432E-02     0.5912567E-10     0.9305759E-09     0.1861152E-08
     0.1420000E+02     0.9521312E+00    -0.4431128E-02    -0.6498943E-01    -0.4475228E-02     0.5952556E-10     0.9309758E-09     0.1861952E-08
     0.1430000E+02     0.9516865E+00    -0.4463565E-02    -0.6543684E-01    -0.4473005E-02     0.5992873E-10     0.9313790E-09     0.1862758E-08
     0.1440000E+02     0.9512385E+00    -0.4496030E-02    -0.6588403E-01    -0.4470765E-02     0.6033520E-10     0.9317854E-09     0.1863571E-08
     0.1450000E+02     0.9507872E+00    -0.4528522E-02    -0.6633099E-01    -0.4468506E-02     0.6074497E-10     0.9321952E-09     0.1864390E-08
     0.1460000E+02     0.9503328E+00    -0.4561042E-02    -0.6677773E-01    -0.4466229E-02     0.6115806E-10     0.9326083E-09     0.1865217E-08
     0.1470000E+02     0.9498750E+00    -0.4593589E-02    -0.6722424E-01    -0.4463934E-02     0.6157448E-10     0.9330247E-09     0.1866049E-08
     0.1480000E+02     0.9494141E+00    -0.4626165E-02    -0.6767052E-01    -0.4461621E-02     0.6199424E-10     0.9334445E-09     0.1866889E-08
     0.1490000E+02     0.9489498E+00    -0.4658769E-02    -0.6811656E-01    -0.4459288E-02     0.6241734E-10     0.9338676E-09     0.1867735E-08
     0.1500000E+02     0.9484823E+00    -0.4691401E-02    -0.6856237E-01    -0.4456938E-02     0.6284381E-10     0.9342940E-09     0.1868588E-08
     0.1510000E+02     0.9480115E+00    -0.4724062E-02    -0.6900795E-01    -0.4454569E-02     0.6327364E-10     0.9347239E-09     0.1869448E-08
     0.1520000E+02     0.9475375E+00    -0.4756752E-02    -0.6945329E-01    -0.4452181E-02     0.6370686E-10     0.9351571E-09     0.1870314E-08
     0.1530000E+02     0.9470602E+00    -0.4789471E-02    -0.6989839E-01    -0.4449774E-02     0.6414348E-10     0.9355937E-09     0.1871187E-08
     0.1540000E+02     0.9465796E+00    -0.4822220E-02    -0.7034324E-01    -0.4447349E-02     0.6458350E-10     0.9360337E-09     0.1872067E-08
     0.1550000E+02     0.9460957E+00    -0.4854998E-02    -0.7078785E-01    -0.4444905E-02     0.6502694E-10     0.9364772E-09     0.1872954E-08
     0.1560000E+02     0.9456086E+00    -0.4887807E-02    -0.7123222E-01    -0.4442442E-02     0.6547381E-10     0.9369240E-09     0.1873848E-08
     0.1570000E+02     0.9451182E+00    -0.4920645E-02    -0.7167634E-01    -0.4439959E-02     0.6592412E-10     0.9373743E-09     0.1874749E-08
     0.1580000E+02     0.9446245E+00    -0.4953514E-02    -0.7212021E-01    -0.4437458E-02     0.6637789E-10     0.9378281E-09     0.1875656E-08
     0.1590000E+02     0.9441275E+00    -0.4986414E-02    -0.7256383E-01    -0.4434938E-02     0.6683512E-10     0.9382853E-09     0.1876571E-08
     0.1600000E+02     0.9436272E+00    -0.5019344E-02    -0.7300720E-01    -0.4432399E-02     0.6729583E-10     0.9387461E-09     0.1877492E-08
     0.1610000E+02     0.9431236E+00    -0.5052306E-02    -0.7345031E-01    -0.4429840E-02     0.6776003E-10     0.9392103E-09     0.1878421E-08
     0.1620000E+02     0.9426167E+00    -0.5085299E-02    -0.7389317E-01    -0.4427262E-02     0.6822774E-10     0.9396780E-09     0.1879356E-08
     0.1630000E+02     0.9421065E+00    -0.5118323E-02    -0.7433576E-01    -0.4424665E-02     0.6869896E-10     0.9401492E-09     0.1880298E-08
     0.1640000E+02     0.9415930E+00    -0.5151380E-02    -0.7477810E-01    -0.4422048E-02     0.6917371E-10     0.9406239E-09     0.1881248E-08
     0.1650000E+02     0.9410763E+00    -0.5184469E-02    -0.7522017E-01    -0.4419412E-02     0.6965201E-10     0.9411022E-09     0.1882204E-08
     0.1660000E+02     0.9405562E+00    -0.5217590E-02    -0.7566198E-01    -0.4416756E-02     0.7013385E-10     0.9415841E-09     0.1883168E-08
     0.1670000E+02     0.9400327E+00    -0.5250744E-02    -0.7610352E-01    -0.4414080E-02     0.7061927E-10     0.9420695E-09     0.1884139E-08
     0.1680000E+02     0.9395060E+00    -0.5283931E-02    -0.7654480E-01    -0.4411385E-02     0.7110827E-10     0.9425585E-09     0.1885117E-08
     0.1690000E+02     0.9389759E+00    -0.5317151E-02    -0.7698580E-01    -0.4408670E-02     0.7160086E-10     0.9430511E-09     0.1886102E-08
     0.1700000E+02     0.9384426E+00    -0.5350404E-02    -0.7742653E-01    -0.4405935E-02     0.7209707E-10     0.9435473E-09     0.1887095E-08
     0.1710000E+02     0.9379059E+00    -0.5383692E-02    -0.7786699E-01    -0.4403180E-02     0.7259689E-10     0.9440471E-09     0.1888094E-08
     0.1720000E+02     0.9373658E+00    -0.5417013E-02    -0.7830717E-01    -0.4400405E-02     0.7310035E-10     0.9445506E-09     0.1889101E-08
     0.1730000E+02     0.9368225E+00    -0.5450368E-02    -0.7874707E-01    -0.4397610E-02     0.7360747E-10     0.9450577E-09     0.1890115E-08
     0.1740000E+02     0.9362758E+00    -0.5483758E-02    -0.7918669E-01    -0.4394794E-02     0.7411824E-10     0.9455685E-09     0.1891137E-08
     0.1750000E+02     0.9357257E+00    -0.5517183E-02    -0.7962603E-01    -0.4391959E-02     0.7463270E-10     0.9460829E-09     0.1892166E-08
     0.1760000E+02     0.9351723E+00    -0.5550643E-02    -0.8006508E-01    -0.4389103E-02     0.7515085E-10     0.9466011E-09     0.1893202E-08
     0.1770000E+02     0.9346156E+00    -0.5584138E-02    -0.8050384E-01    -0.4386227E-02     0.7567270E-10     0.9471229E-09     0.1894246E-08
     0.1780000E+02     0.9340555E+00    -0.5617668E-02    -0.8094232E-01    -0.4383330E-02     0.7619828E-10     0.9476485E-09     0.1895297E-08
     0.1790000E+02     0.9334920E+00    -0.5651235E-02    -0.8138051E-01    -0.4380412E-02     0.7672759E-10     0.9481778E-09     0.1896356E-08
     0.1800000E+02     0.9329252E+00    -0.5684837E-02    -0.8181840E-01    -0.4377474E-02     0.7726066E-10     0.9487109E-09     0.1897422E-08
     0.1810000E+02     0.9323551E+00    -0.5718476E-02    -0.8225600E-01    -0.4374515E-02     0.7779749E-10     0.9492477E-09     0.1898495E-08
     0.1820000E+02     0.9317815E+00    -0.5752152E-02    -0.8269331E-01    -0.4371535E-02     0.7833811E-10     0.9497883E-09     0.1899577E-08
