#          r               U
     0.9873182E+00     0.8998858E-09
     0.9873372E+00     0.8998684E-09
     0.9873563E+00     0.8998510E-09
     0.9873755E+00     0.8998335E-09
     0.9873947E+00     0.8998161E-09
     0.9874139E+00     0.8997985E-09
     0.9874331E+00     0.8997810E-09
     0.9874524E+00     0.8997634E-09
     0.9874718E+00     0.8997458E-09
     0.9874912E+00     0.8997281E-09
     0.9875106E+00     0.8997104E-09
     0.9875300E+00     0.8996927E-09
     0.9875495E+00     0.8996750E-09
     0.9875690E+00     0.8996572E-09
     0.9875886E+00     0.8996394E-09
     0.9876082E+00     0.8996215E-09
     0.9876278E+00     0.8996036E-09
     0.9876475E+00     0.8995857E-09
     0.9876672E+00     0.8995677E-09
     0.9876870E+00     0.8995497E-09
     0.9877068E+00     0.8995317E-09
     0.9877266E+00     0.8995137E-09
     0.9877465E+00     0.8994956E-09
     0.9877664E+00     0.8994775E-09
     0.9877863E+00     0.8994593E-09
     0.9878063E+00     0.8994411E-09
     0.9878263E+00     0.8994229E-09
     0.9878463E+00     0.8994046E-09
     0.9878664E+00     0.8993863E-09
     0.9878865E+00     0.8993680E-09
     0.9879067E+00     0.8993497E-09
     0.9879269E+00     0.8993313E-09
     0.9879471E+00     0.8993129E-09
     0.9879674E+00     0.8992944E-09
     0.9879877E+00     0.8992759E-09
     0.9880081E+00     0.8992574E-09
     0.9880284E+00     0.8992389E-09
     0.9880488E+00     0.8992203E-09
     0.9880693E+00     0.8992017E-09
     0.9880898E+00     0.8991830E-09
     0.9881103E+00     0.8991644E-09
     0.9881309E+00     0.8991457E-09
     0.9881515E+00     0.8991269E-09
     0.9881721E+00     0.8991081E-09
     0.9881928E+00     0.8990893E-09
     0.9882135E+00     0.8990705E-09
     0.9882342E+00     0.8990516E-09
     0.9882550E+00     0.8990327E-09
     0.9882758E+00     0.8990138E-09
     0.9882966E+00     0.8989948E-09
     0.9883175E+00     0.8989758E-09
     0.9883384E+00     0.8989568E-09
     0.9883594E+00     0.8989378E-09
     0.9883804E+00     0.8989187E-09
     0.9884014E+00     0.8988996E-09
     0.9884225E+00     0.8988804E-09
     0.9884435E+00     0.8988612E-09
     0.9884647E+00     0.8988420E-09
     0.9884858E+00     0.8988228E-09
     0.9885070E+00     0.8988035E-09
     0.9885283E+00     0.8987842E-09
     0.9885495E+00     0.8987649E-09
     0.9885708E+00     0.8987455E-09
     0.9885922E+00     0.8987261E-09
     0.9886135E+00     0.8987067E-09
     0.9886349E+00     0.8986872E-09
     0.9886564E+00     0.8986677E-09
     0.9886779E+00     0.8986482E-09
     0.9886994E+00     0.8986286E-09
     0.9887209E+00     0.8986091E-09
     0.9887425E+00     0.8985895E-09
     0.9887641E+00     0.8985698E-09
     0.9887857E+00     0.8985501E-09
     0.9888074E+00     0.8985304E-09
     0.9888291E+00     0.8985107E-09
     0.9888509E+00     0.8984910E-09
     0.9888727E+00     0.8984712E-09
     0.9888945E+00     0.8984514E-09
     0.9889163E+00     0.8984315E-09
     0.9889382E+00     0.8984116E-09
     0.9889601E+00     0.8983917E-09
     0.9889821E+00     0.8983718E-09
     0.9890040E+00     0.8983518E-09
     0.9890261E+00     0.8983318E-09
     0.9890481E+00     0.8983118E-09
     0.9890702E+00     0.8982917E-09
     0.9890923E+00     0.8982717E-09
     0.9891144E+00     0.8982515E-09
     0.9891366E+00     0.8982314E-09
     0.9891588E+00     0.8982112E-09
     0.9891811E+00     0.8981910E-09
     0.9892034E+00     0.8981708E-09
     0.9892257E+00     0.8981506E-09
     0.9892480E+00     0.8981303E-09
     0.9892704E+00     0.8981100E-09
     0.9892928E+00     0.8980896E-09
     0.9893152E+00     0.8980692E-09
     0.9893377E+00     0.8980488E-09
     0.9893602E+00     0.8980284E-09
     0.9893827E+00     0.8980080E-09
     0.9894053E+00     0.8979875E-09
     0.9894279E+00     0.8979670E-09
     0.9894505E+00     0.8979464E-09
     0.9894732E+00     0.8979259E-09
     0.9894959E+00     0.8979053E-09
     0.9895186E+00     0.8978846E-09
     0.9895414E+00     0.8978640E-09
     0.9895642E+00     0.8978433E-09
     0.9895870E+00     0.8978226E-09
     0.9896098E+00     0.8978019E-09
     0.9896327E+00     0.8977811E-09
     0.9896556E+00     0.8977603E-09
     0.9896786E+00     0.8977395E-09
     0.9897016E+00     0.8977187E-09
     0.9897246E+00     0.8976978E-09
     0.9897476E+00     0.8976769E-09
     0.9897707E+00     0.8976560E-09
     0.9897938E+00     0.8976350E-09
     0.9898169E+00     0.8976141E-09
     0.9898401E+00     0.8975931E-09
     0.9898633E+00     0.8975720E-09
     0.9898865E+00     0.8975510E-09
     0.9899097E+00     0.8975299E-09
     0.9899330E+00     0.8975088E-09
     0.9899563E+00     0.8974876E-09
     0.9899797E+00     0.8974665E-09
     0.9900031E+00     0.8974453E-09
     0.9900265E+00     0.8974241E-09
     0.9900499E+00     0.8974028E-09
     0.9900734E+00     0.8973816E-09
     0.9900969E+00     0.8973603E-09
     0.9901204E+00     0.8973389E-09
     0.9901439E+00     0.8973176E-09
     0.9901675E+00     0.8972962E-09
     0.9901911E+00     0.8972748E-09
     0.9902148E+00     0.8972534E-09
     0.9902385E+00     0.8972319E-09
     0.9902622E+00     0.8972105E-09
     0.9902859E+00     0.8971890E-09
     0.9903096E+00     0.8971674E-09
     0.9903334E+00     0.8971459E-09
     0.9903573E+00     0.8971243E-09
     0.9903811E+00     0.8971027E-09
     0.9904050E+00     0.8970811E-09
     0.9904289E+00     0.8970594E-09
     0.9904528E+00     0.8970378E-09
     0.9904768E+00     0.8970161E-09
     0.9905008E+00     0.8969943E-09
     0.9905248E+00     0.8969726E-09
     0.9905488E+00     0.8969508E-09
     0.9905729E+00     0.8969290E-09
     0.9905970E+00     0.8969072E-09
     0.9906212E+00     0.8968853E-09
     0.9906453E+00     0.8968635E-09
     0.9906695E+00     0.8968416E-09
     0.9906937E+00     0.8968196E-09
     0.9907180E+00     0.8967977E-09
     0.9907422E+00     0.8967757E-09
     0.9907665E+00     0.8967537E-09
     0.9907909E+00     0.8967317E-09
     0.9908152E+00     0.8967097E-09
     0.9908396E+00     0.8966876E-09
     0.9908640E+00     0.8966655E-09
