#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1430000E+02     0.9521635E+00    -0.4329280E-02     0.2475445E+00     0.1694222E-01     0.4589166E-09     0.9030893E-09     0.1806179E-08
     0.1440000E+02     0.9517291E+00    -0.4358871E-02     0.2492384E+00     0.1693449E-01     0.4589099E-09     0.9030826E-09     0.1806165E-08
     0.1450000E+02     0.9512917E+00    -0.4388448E-02     0.2509314E+00     0.1692672E-01     0.4589031E-09     0.9030758E-09     0.1806152E-08
     0.1460000E+02     0.9508514E+00    -0.4418010E-02     0.2526237E+00     0.1691889E-01     0.4588963E-09     0.9030690E-09     0.1806138E-08
     0.1470000E+02     0.9504081E+00    -0.4447558E-02     0.2543152E+00     0.1691102E-01     0.4588895E-09     0.9030621E-09     0.1806124E-08
     0.1480000E+02     0.9499619E+00    -0.4477092E-02     0.2560059E+00     0.1690309E-01     0.4588826E-09     0.9030552E-09     0.1806110E-08
     0.1490000E+02     0.9495127E+00    -0.4506611E-02     0.2576958E+00     0.1689510E-01     0.4588756E-09     0.9030483E-09     0.1806097E-08
     0.1500000E+02     0.9490606E+00    -0.4536115E-02     0.2593849E+00     0.1688707E-01     0.4588686E-09     0.9030413E-09     0.1806083E-08
     0.1510000E+02     0.9486055E+00    -0.4565604E-02     0.2610732E+00     0.1687898E-01     0.4588616E-09     0.9030343E-09     0.1806069E-08
     0.1520000E+02     0.9481475E+00    -0.4595079E-02     0.2627607E+00     0.1687084E-01     0.4588545E-09     0.9030272E-09     0.1806054E-08
     0.1530000E+02     0.9476865E+00    -0.4624538E-02     0.2644474E+00     0.1686265E-01     0.4588474E-09     0.9030201E-09     0.1806040E-08
     0.1540000E+02     0.9472226E+00    -0.4653983E-02     0.2661333E+00     0.1685440E-01     0.4588402E-09     0.9030129E-09     0.1806026E-08
     0.1550000E+02     0.9467557E+00    -0.4683412E-02     0.2678183E+00     0.1684610E-01     0.4588330E-09     0.9030057E-09     0.1806011E-08
     0.1560000E+02     0.9462859E+00    -0.4712826E-02     0.2695025E+00     0.1683776E-01     0.4588257E-09     0.9029984E-09     0.1805997E-08
     0.1570000E+02     0.9458131E+00    -0.4742225E-02     0.2711858E+00     0.1682936E-01     0.4588184E-09     0.9029911E-09     0.1805982E-08
     0.1580000E+02     0.9453374E+00    -0.4771608E-02     0.2728684E+00     0.1682090E-01     0.4588110E-09     0.9029837E-09     0.1805967E-08
     0.1590000E+02     0.9448588E+00    -0.4800976E-02     0.2745500E+00     0.1681240E-01     0.4588036E-09     0.9029763E-09     0.1805953E-08
     0.1600000E+02     0.9443772E+00    -0.4830328E-02     0.2762308E+00     0.1680384E-01     0.4587962E-09     0.9029689E-09     0.1805938E-08
     0.1610000E+02     0.9438927E+00    -0.4859664E-02     0.2779108E+00     0.1679523E-01     0.4587887E-09     0.9029614E-09     0.1805923E-08
     0.1620000E+02     0.9434053E+00    -0.4888984E-02     0.2795899E+00     0.1678657E-01     0.4587812E-09     0.9029538E-09     0.1805908E-08
     0.1630000E+02     0.9429149E+00    -0.4918289E-02     0.2812681E+00     0.1677786E-01     0.4587736E-09     0.9029463E-09     0.1805893E-08
     0.1640000E+02     0.9424216E+00    -0.4947577E-02     0.2829454E+00     0.1676909E-01     0.4587660E-09     0.9029386E-09     0.1805877E-08
     0.1650000E+02     0.9419254E+00    -0.4976850E-02     0.2846219E+00     0.1676027E-01     0.4587583E-09     0.9029310E-09     0.1805862E-08
     0.1660000E+02     0.9414263E+00    -0.5006106E-02     0.2862975E+00     0.1675141E-01     0.4587506E-09     0.9029232E-09     0.1805846E-08
     0.1670000E+02     0.9409242E+00    -0.5035346E-02     0.2879722E+00     0.1674249E-01     0.4587428E-09     0.9029155E-09     0.1805831E-08
     0.1680000E+02     0.9404192E+00    -0.5064569E-02     0.2896460E+00     0.1673351E-01     0.4587350E-09     0.9029077E-09     0.1805815E-08
     0.1690000E+02     0.9399113E+00    -0.5093776E-02     0.2913189E+00     0.1672449E-01     0.4587271E-09     0.9028998E-09     0.1805800E-08
     0.1700000E+02     0.9394004E+00    -0.5122967E-02     0.2929909E+00     0.1671541E-01     0.4587192E-09     0.9028919E-09     0.1805784E-08
     0.1710000E+02     0.9388867E+00    -0.5152141E-02     0.2946620E+00     0.1670629E-01     0.4587113E-09     0.9028840E-09     0.1805768E-08
     0.1720000E+02     0.9383700E+00    -0.5181298E-02     0.2963321E+00     0.1669711E-01     0.4587033E-09     0.9028760E-09     0.1805752E-08
     0.1730000E+02     0.9378504E+00    -0.5210438E-02     0.2980014E+00     0.1668788E-01     0.4586953E-09     0.9028680E-09     0.1805736E-08
     0.1740000E+02     0.9373279E+00    -0.5239561E-02     0.2996697E+00     0.1667859E-01     0.4586872E-09     0.9028599E-09     0.1805720E-08
     0.1750000E+02     0.9368025E+00    -0.5268667E-02     0.3013371E+00     0.1666926E-01     0.4586791E-09     0.9028518E-09     0.1805704E-08
     0.1760000E+02     0.9362742E+00    -0.5297756E-02     0.3030036E+00     0.1665987E-01     0.4586709E-09     0.9028436E-09     0.1805687E-08
     0.1770000E+02     0.9357430E+00    -0.5326827E-02     0.3046691E+00     0.1665044E-01     0.4586627E-09     0.9028354E-09     0.1805671E-08
     0.1780000E+02     0.9352088E+00    -0.5355882E-02     0.3063337E+00     0.1664095E-01     0.4586544E-09     0.9028271E-09     0.1805654E-08
     0.1790000E+02     0.9346718E+00    -0.5384919E-02     0.3079973E+00     0.1663141E-01     0.4586461E-09     0.9028188E-09     0.1805638E-08
     0.1800000E+02     0.9341319E+00    -0.5413938E-02     0.3096599E+00     0.1662182E-01     0.4586378E-09     0.9028105E-09     0.1805621E-08
     0.1810000E+02     0.9335890E+00    -0.5442940E-02     0.3113216E+00     0.1661218E-01     0.4586294E-09     0.9028021E-09     0.1805604E-08
     0.1820000E+02     0.9330433E+00    -0.5471924E-02     0.3129824E+00     0.1660248E-01     0.4586210E-09     0.9027936E-09     0.1805587E-08
     0.1830000E+02     0.9324946E+00    -0.5500890E-02     0.3146421E+00     0.1659274E-01     0.4586125E-09     0.9027852E-09     0.1805570E-08
     0.1840000E+02     0.9319431E+00    -0.5529838E-02     0.3163009E+00     0.1658294E-01     0.4586040E-09     0.9027766E-09     0.1805553E-08
     0.1850000E+02     0.9313887E+00    -0.5558768E-02     0.3179587E+00     0.1657309E-01     0.4585954E-09     0.9027681E-09     0.1805536E-08
     0.1860000E+02     0.9308313E+00    -0.5587681E-02     0.3196155E+00     0.1656319E-01     0.4585868E-09     0.9027595E-09     0.1805519E-08
     0.1870000E+02     0.9302711E+00    -0.5616575E-02     0.3212714E+00     0.1655324E-01     0.4585781E-09     0.9027508E-09     0.1805502E-08
